Hood,Venue_ID,Venue_Name,Venue_Distance,Venue_Address,Venue_Latitude,Venue_Longitude,Category_ID,Category_Name
West Queen Anne,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,1468,315 N 36th St #2B,47.65203955731401,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
West Queen Anne,5064c506e4b06062642548ae,Next 50 Video Arcade,2164,Seattle Center,47.62121962265271,-122.3508273919547,4bf58dd8d48988d1e1931735,Arcade
West Queen Anne,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,2161,No Address,47.62124191433432,-122.35085303562946,4bf58dd8d48988d1e1931735,Arcade
Capitol Hill,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,393,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
Capitol Hill,50fa31bae4b020b5559a65cc,Lipton's Arcade,845,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
Capitol Hill,4be474332468c92898ccfe42,Arcade Smoke Shop,1913,1522 5th Ave,47.611345,-122.33589199999999,4bf58dd8d48988d123951735,Smoke Shop
Capitol Hill,4d7d3cc2f260a093e1ec48ba,Fantasy Arcade,1722,2027 Westlake Ave,47.61590490874594,-122.33808543186842,4bf58dd8d48988d1d6941735,Strip Club
Capitol Hill,59aa49a55a2c9117f347da63,Taco Bell,1604,308 9th Ave N,47.6212158203125,-122.33939361572266,4bf58dd8d48988d16e941735,Fast Food Restaurant
Portage Bay,4af30888f964a520f5e921e3,4518 Arcade,1859,4518 University Way NE,47.661835990682604,-122.3131209770191,4bf58dd8d48988d124941735,Office
Broadway,597be97e58aa7f16eb83d768,Portal Virtual Reality Arcade,469,2601 NW Market St,47.66838836669922,-122.39053344726562,4bf58dd8d48988d1e1931735,Arcade
Broadway,5a6a65f642d8c2036ccf8098,Ice Box,1765,615 NW Bright St,47.659821,-122.364749,4bf58dd8d48988d1e1931735,Arcade
Pike,50fa31bae4b020b5559a65cc,Lipton's Arcade,520,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
Pike,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,680,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
Pike,4be474332468c92898ccfe42,Arcade Smoke Shop,1474,1522 5th Ave,47.611345,-122.33589199999999,4bf58dd8d48988d123951735,Smoke Shop
Pike,4d7d3cc2f260a093e1ec48ba,Fantasy Arcade,1410,2027 Westlake Ave,47.61590490874594,-122.33808543186842,4bf58dd8d48988d1d6941735,Strip Club
Pike,4e8fac6c8b81c6df65663ca0,Arcade lights,1972,No Address,47.60959135383031,-122.34212893264518,4d4b7105d754a06374d81259,Food
Pike,59af34d64a7aae7ed5080133,Klondike Arcade,2110,No Address,47.606257,-122.340676,4bf58dd8d48988d1e1931735,Arcade
Pike,4fb7f757e4b09a1e8cab118e,Time masheen arcade,2106,No Address,47.60154454116357,-122.33068425440729,4bf58dd8d48988d1e1931735,Arcade
Pike,59aa49a55a2c9117f347da63,Taco Bell,1486,308 9th Ave N,47.6212158203125,-122.33939361572266,4bf58dd8d48988d16e941735,Fast Food Restaurant
Montlake,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,2168,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
Stevens,4af30888f964a520f5e921e3,4518 Arcade,860,4518 University Way NE,47.661835990682604,-122.3131209770191,4bf58dd8d48988d124941735,Office
Interlaken,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,1606,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
Madison Valley,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,1369,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
Madison Valley,50fa31bae4b020b5559a65cc,Lipton's Arcade,2341,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
Renton Hill,4ff503b1e4b02ca33b4b731f,Rod's Pinball Arcade,829,9818 Beacon Ave S,47.512992,-122.27285,4bf58dd8d48988d1e1931735,Arcade
Broadmoor,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,2212,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
Lake Union,4ee59ef76c25be9631860f8d,Add-a-Ball Arcade,1974,315 N 36th St #2B,47.65203955731401,-122.35477061699757,4bf58dd8d48988d1e1931735,Arcade
Lake Union,50fa31bae4b020b5559a65cc,Lipton's Arcade,2444,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
Lake Union,59aa49a55a2c9117f347da63,Taco Bell,2101,308 9th Ave N,47.6212158203125,-122.33939361572266,4bf58dd8d48988d16e941735,Fast Food Restaurant
South Lake Union,4d7d3cc2f260a093e1ec48ba,Fantasy Arcade,808,2027 Westlake Ave,47.61590490874594,-122.33808543186842,4bf58dd8d48988d1d6941735,Strip Club
South Lake Union,4be474332468c92898ccfe42,Arcade Smoke Shop,1328,1522 5th Ave,47.611345,-122.33589199999999,4bf58dd8d48988d123951735,Smoke Shop
South Lake Union,5064c506e4b06062642548ae,Next 50 Video Arcade,958,Seattle Center,47.62121962265271,-122.3508273919547,4bf58dd8d48988d1e1931735,Arcade
South Lake Union,50fa31bae4b020b5559a65cc,Lipton's Arcade,998,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
South Lake Union,4e8fac6c8b81c6df65663ca0,Arcade lights,1536,No Address,47.60959135383031,-122.34212893264518,4d4b7105d754a06374d81259,Food
South Lake Union,59af34d64a7aae7ed5080133,Klondike Arcade,1889,No Address,47.606257,-122.340676,4bf58dd8d48988d1e1931735,Arcade
South Lake Union,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,1533,3150 Elliott Ave,47.618241999999995,-122.35746999999999,4bf58dd8d48988d1e1931735,Arcade
South Lake Union,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,1888,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
South Lake Union,59aa49a55a2c9117f347da63,Taco Bell,229,308 9th Ave N,47.6212158203125,-122.33939361572266,4bf58dd8d48988d16e941735,Fast Food Restaurant
South Lake Union,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,959,No Address,47.62124191433432,-122.35085303562946,4bf58dd8d48988d1e1931735,Arcade
Cascade,4d7d3cc2f260a093e1ec48ba,Fantasy Arcade,600,2027 Westlake Ave,47.61590490874594,-122.33808543186842,4bf58dd8d48988d1d6941735,Strip Club
Cascade,50fa31bae4b020b5559a65cc,Lipton's Arcade,517,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
Cascade,4be474332468c92898ccfe42,Arcade Smoke Shop,1008,1522 5th Ave,47.611345,-122.33589199999999,4bf58dd8d48988d123951735,Smoke Shop
Cascade,4e8fac6c8b81c6df65663ca0,Arcade lights,1357,No Address,47.60959135383031,-122.34212893264518,4d4b7105d754a06374d81259,Food
Cascade,59af34d64a7aae7ed5080133,Klondike Arcade,1651,No Address,47.606257,-122.340676,4bf58dd8d48988d1e1931735,Arcade
Cascade,5064c506e4b06062642548ae,Next 50 Video Arcade,1318,Seattle Center,47.62121962265271,-122.3508273919547,4bf58dd8d48988d1e1931735,Arcade
Cascade,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,1543,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
Cascade,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,1825,3150 Elliott Ave,47.618241999999995,-122.35746999999999,4bf58dd8d48988d1e1931735,Arcade
Cascade,4fb7f757e4b09a1e8cab118e,Time masheen arcade,2090,No Address,47.60154454116357,-122.33068425440729,4bf58dd8d48988d1e1931735,Arcade
Cascade,59aa49a55a2c9117f347da63,Taco Bell,468,308 9th Ave N,47.6212158203125,-122.33939361572266,4bf58dd8d48988d16e941735,Fast Food Restaurant
Cascade,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,1320,No Address,47.62124191433432,-122.35085303562946,4bf58dd8d48988d1e1931735,Arcade
Westlake,4be474332468c92898ccfe42,Arcade Smoke Shop,52,1522 5th Ave,47.611345,-122.33589199999999,4bf58dd8d48988d123951735,Smoke Shop
Westlake,4e53fe8522711d4da5c38798,Grand Central Building - Lower Arcade,1269,No Address,47.600463354949696,-122.33397036075996,5744ccdfe4b0c0459246b4dc,Shopping Plaza
Westlake,4e8fac6c8b81c6df65663ca0,Arcade lights,507,No Address,47.60959135383031,-122.34212893264518,4d4b7105d754a06374d81259,Food
Westlake,4d7d3cc2f260a093e1ec48ba,Fantasy Arcade,481,2027 Westlake Ave,47.61590490874594,-122.33808543186842,4bf58dd8d48988d1d6941735,Strip Club
Westlake,59af34d64a7aae7ed5080133,Klondike Arcade,700,No Address,47.606257,-122.340676,4bf58dd8d48988d1e1931735,Arcade
Westlake,50fa31bae4b020b5559a65cc,Lipton's Arcade,1051,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
Westlake,4fb7f757e4b09a1e8cab118e,Time masheen arcade,1211,No Address,47.60154454116357,-122.33068425440729,4bf58dd8d48988d1e1931735,Arcade
Westlake,5064c506e4b06062642548ae,Next 50 Video Arcade,1520,Seattle Center,47.62121962265271,-122.3508273919547,4bf58dd8d48988d1e1931735,Arcade
Westlake,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,1751,3150 Elliott Ave,47.618241999999995,-122.35746999999999,4bf58dd8d48988d1e1931735,Arcade
Westlake,59aa49a55a2c9117f347da63,Taco Bell,1078,308 9th Ave N,47.6212158203125,-122.33939361572266,4bf58dd8d48988d16e941735,Fast Food Restaurant
Westlake,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,1523,No Address,47.62124191433432,-122.35085303562946,4bf58dd8d48988d1e1931735,Arcade
Eastlake,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,2177,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
Downtown,4e53fe8522711d4da5c38798,Grand Central Building - Lower Arcade,515,No Address,47.600463354949696,-122.33397036075996,5744ccdfe4b0c0459246b4dc,Shopping Plaza
Downtown,4fb7f757e4b09a1e8cab118e,Time masheen arcade,429,No Address,47.60154454116357,-122.33068425440729,4bf58dd8d48988d1e1931735,Arcade
Downtown,59af34d64a7aae7ed5080133,Klondike Arcade,1310,No Address,47.606257,-122.340676,4bf58dd8d48988d1e1931735,Arcade
Downtown,4be474332468c92898ccfe42,Arcade Smoke Shop,1585,1522 5th Ave,47.611345,-122.33589199999999,4bf58dd8d48988d123951735,Smoke Shop
Downtown,4e8fac6c8b81c6df65663ca0,Arcade lights,1657,No Address,47.60959135383031,-122.34212893264518,4d4b7105d754a06374d81259,Food
Downtown,4d7d3cc2f260a093e1ec48ba,Fantasy Arcade,2117,2027 Westlake Ave,47.61590490874594,-122.33808543186842,4bf58dd8d48988d1d6941735,Strip Club
Denny Triangle,4e53fe8522711d4da5c38798,Grand Central Building - Lower Arcade,2010,No Address,47.600463354949696,-122.33397036075996,5744ccdfe4b0c0459246b4dc,Shopping Plaza
Denny Triangle,4d7d3cc2f260a093e1ec48ba,Fantasy Arcade,423,2027 Westlake Ave,47.61590490874594,-122.33808543186842,4bf58dd8d48988d1d6941735,Strip Club
Denny Triangle,4be474332468c92898ccfe42,Arcade Smoke Shop,812,1522 5th Ave,47.611345,-122.33589199999999,4bf58dd8d48988d123951735,Smoke Shop
Denny Triangle,50fa31bae4b020b5559a65cc,Lipton's Arcade,542,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
Denny Triangle,4e8fac6c8b81c6df65663ca0,Arcade lights,1166,No Address,47.60959135383031,-122.34212893264518,4d4b7105d754a06374d81259,Food
Denny Triangle,59af34d64a7aae7ed5080133,Klondike Arcade,1454,No Address,47.606257,-122.340676,4bf58dd8d48988d1e1931735,Arcade
Denny Triangle,5064c506e4b06062642548ae,Next 50 Video Arcade,1297,Seattle Center,47.62121962265271,-122.3508273919547,4bf58dd8d48988d1e1931735,Arcade
Denny Triangle,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,1642,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
Denny Triangle,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,1761,3150 Elliott Ave,47.618241999999995,-122.35746999999999,4bf58dd8d48988d1e1931735,Arcade
Denny Triangle,4fb7f757e4b09a1e8cab118e,Time masheen arcade,1906,No Address,47.60154454116357,-122.33068425440729,4bf58dd8d48988d1e1931735,Arcade
Denny Triangle,59aa49a55a2c9117f347da63,Taco Bell,503,308 9th Ave N,47.6212158203125,-122.33939361572266,4bf58dd8d48988d16e941735,Fast Food Restaurant
Denny Triangle,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,1300,No Address,47.62124191433432,-122.35085303562946,4bf58dd8d48988d1e1931735,Arcade
Belltown,4e53fe8522711d4da5c38798,Grand Central Building - Lower Arcade,1658,No Address,47.600463354949696,-122.33397036075996,5744ccdfe4b0c0459246b4dc,Shopping Plaza
Belltown,4e8fac6c8b81c6df65663ca0,Arcade lights,472,No Address,47.60959135383031,-122.34212893264518,4d4b7105d754a06374d81259,Food
Belltown,4be474332468c92898ccfe42,Arcade Smoke Shop,740,1522 5th Ave,47.611345,-122.33589199999999,4bf58dd8d48988d123951735,Smoke Shop
Belltown,4d7d3cc2f260a093e1ec48ba,Fantasy Arcade,621,2027 Westlake Ave,47.61590490874594,-122.33808543186842,4bf58dd8d48988d1d6941735,Strip Club
Belltown,59af34d64a7aae7ed5080133,Klondike Arcade,852,No Address,47.606257,-122.340676,4bf58dd8d48988d1e1931735,Arcade
Belltown,5064c506e4b06062642548ae,Next 50 Video Arcade,979,Seattle Center,47.62121962265271,-122.3508273919547,4bf58dd8d48988d1e1931735,Arcade
Belltown,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,1066,3150 Elliott Ave,47.618241999999995,-122.35746999999999,4bf58dd8d48988d1e1931735,Arcade
Belltown,50fa31bae4b020b5559a65cc,Lipton's Arcade,1524,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
Belltown,4fb7f757e4b09a1e8cab118e,Time masheen arcade,1704,No Address,47.60154454116357,-122.33068425440729,4bf58dd8d48988d1e1931735,Arcade
Belltown,59aa49a55a2c9117f347da63,Taco Bell,995,308 9th Ave N,47.6212158203125,-122.33939361572266,4bf58dd8d48988d16e941735,Fast Food Restaurant
Belltown,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,982,No Address,47.62124191433432,-122.35085303562946,4bf58dd8d48988d1e1931735,Arcade
Pike,50fa31bae4b020b5559a65cc,Lipton's Arcade,520,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
Pike,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,680,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
Pike,4be474332468c92898ccfe42,Arcade Smoke Shop,1474,1522 5th Ave,47.611345,-122.33589199999999,4bf58dd8d48988d123951735,Smoke Shop
Pike,4d7d3cc2f260a093e1ec48ba,Fantasy Arcade,1410,2027 Westlake Ave,47.61590490874594,-122.33808543186842,4bf58dd8d48988d1d6941735,Strip Club
Pike,4e8fac6c8b81c6df65663ca0,Arcade lights,1972,No Address,47.60959135383031,-122.34212893264518,4d4b7105d754a06374d81259,Food
Pike,59af34d64a7aae7ed5080133,Klondike Arcade,2110,No Address,47.606257,-122.340676,4bf58dd8d48988d1e1931735,Arcade
Pike,4fb7f757e4b09a1e8cab118e,Time masheen arcade,2106,No Address,47.60154454116357,-122.33068425440729,4bf58dd8d48988d1e1931735,Arcade
Pike,59aa49a55a2c9117f347da63,Taco Bell,1486,308 9th Ave N,47.6212158203125,-122.33939361572266,4bf58dd8d48988d16e941735,Fast Food Restaurant
Central Business District,4e53fe8522711d4da5c38798,Grand Central Building - Lower Arcade,1024,No Address,47.600463354949696,-122.33397036075996,5744ccdfe4b0c0459246b4dc,Shopping Plaza
Central Business District,4be474332468c92898ccfe42,Arcade Smoke Shop,204,1522 5th Ave,47.611345,-122.33589199999999,4bf58dd8d48988d123951735,Smoke Shop
Central Business District,4e8fac6c8b81c6df65663ca0,Arcade lights,438,No Address,47.60959135383031,-122.34212893264518,4d4b7105d754a06374d81259,Food
Central Business District,59af34d64a7aae7ed5080133,Klondike Arcade,491,No Address,47.606257,-122.340676,4bf58dd8d48988d1e1931735,Arcade
Central Business District,4d7d3cc2f260a093e1ec48ba,Fantasy Arcade,722,2027 Westlake Ave,47.61590490874594,-122.33808543186842,4bf58dd8d48988d1d6941735,Strip Club
Central Business District,4fb7f757e4b09a1e8cab118e,Time masheen arcade,983,No Address,47.60154454116357,-122.33068425440729,4bf58dd8d48988d1e1931735,Arcade
Central Business District,50fa31bae4b020b5559a65cc,Lipton's Arcade,1251,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
Central Business District,5064c506e4b06062642548ae,Next 50 Video Arcade,1697,Seattle Center,47.62121962265271,-122.3508273919547,4bf58dd8d48988d1e1931735,Arcade
Central Business District,4d03d2b6c2e537042963b467,Penny Arcade Warehouse,1861,3150 Elliott Ave,47.618241999999995,-122.35746999999999,4bf58dd8d48988d1e1931735,Arcade
Central Business District,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,2302,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
Central Business District,59aa49a55a2c9117f347da63,Taco Bell,1321,308 9th Ave N,47.6212158203125,-122.33939361572266,4bf58dd8d48988d16e941735,Fast Food Restaurant
Central Business District,4fdd404be4b082d0767d2155,Seattle Interactive Media Museum,1701,No Address,47.62124191433432,-122.35085303562946,4bf58dd8d48988d1e1931735,Arcade
First Hill,4e53fe8522711d4da5c38798,Grand Central Building - Lower Arcade,1193,No Address,47.600463354949696,-122.33397036075996,5744ccdfe4b0c0459246b4dc,Shopping Plaza
First Hill,4be474332468c92898ccfe42,Arcade Smoke Shop,849,1522 5th Ave,47.611345,-122.33589199999999,4bf58dd8d48988d123951735,Smoke Shop
First Hill,59af34d64a7aae7ed5080133,Klondike Arcade,1225,No Address,47.606257,-122.340676,4bf58dd8d48988d1e1931735,Arcade
First Hill,4e8fac6c8b81c6df65663ca0,Arcade lights,1287,No Address,47.60959135383031,-122.34212893264518,4d4b7105d754a06374d81259,Food
First Hill,4fb7f757e4b09a1e8cab118e,Time masheen arcade,964,No Address,47.60154454116357,-122.33068425440729,4bf58dd8d48988d1e1931735,Arcade
First Hill,50fa31bae4b020b5559a65cc,Lipton's Arcade,1062,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
First Hill,4d7d3cc2f260a093e1ec48ba,Fantasy Arcade,1227,2027 Westlake Ave,47.61590490874594,-122.33808543186842,4bf58dd8d48988d1d6941735,Strip Club
First Hill,55aaf9fa498e95351b9da504,Capitol Hill Family Arcade,1778,No Address,47.62317228145979,-122.31321781418251,4bf58dd8d48988d1e1931735,Arcade
First Hill,59aa49a55a2c9117f347da63,Taco Bell,1710,308 9th Ave N,47.6212158203125,-122.33939361572266,4bf58dd8d48988d16e941735,Fast Food Restaurant
Pioneer Square,4e53fe8522711d4da5c38798,Grand Central Building - Lower Arcade,186,No Address,47.600463354949696,-122.33397036075996,5744ccdfe4b0c0459246b4dc,Shopping Plaza
Pioneer Square,4fb7f757e4b09a1e8cab118e,Time masheen arcade,252,No Address,47.60154454116357,-122.33068425440729,4bf58dd8d48988d1e1931735,Arcade
Pioneer Square,59af34d64a7aae7ed5080133,Klondike Arcade,683,No Address,47.606257,-122.340676,4bf58dd8d48988d1e1931735,Arcade
Pioneer Square,4be474332468c92898ccfe42,Arcade Smoke Shop,1035,1522 5th Ave,47.611345,-122.33589199999999,4bf58dd8d48988d123951735,Smoke Shop
Pioneer Square,4e8fac6c8b81c6df65663ca0,Arcade lights,1032,No Address,47.60959135383031,-122.34212893264518,4d4b7105d754a06374d81259,Food
Pioneer Square,4d7d3cc2f260a093e1ec48ba,Fantasy Arcade,1563,2027 Westlake Ave,47.61590490874594,-122.33808543186842,4bf58dd8d48988d1d6941735,Strip Club
Pioneer Square,50fa31bae4b020b5559a65cc,Lipton's Arcade,1927,No Address,47.61877032588395,-122.32677744337444,4bf58dd8d48988d11a941735,Other Nightlife
Pioneer Square,59aa49a55a2c9117f347da63,Taco Bell,2162,308 9th Ave N,47.6212158203125,-122.33939361572266,4bf58dd8d48988d16e941735,Fast Food Restaurant
