Category_Name,Venue_Distance,Category_ID,Venue_Rating
Elementary School,126,4f4533804b9074f6e4fb0105,Not Rated
Elementary School,78,4f4533804b9074f6e4fb0105,Not Rated
Elementary School,59,4f4533804b9074f6e4fb0105,Not Rated
Elementary School,54,4f4533804b9074f6e4fb0105,Not Rated
Platform,34,4f4531504b9074f6e4fb0102,Not Rated
Recycling Facility,239,4f4531084b9074f6e4fb0101,Not Rated
Athletics & Sports,766,4f4528bc4b90abdf24c9de85,Not Rated
Athletics & Sports,69,4f4528bc4b90abdf24c9de85,Not Rated
Moving Target,453,4f2a23984b9023bd5841ed2c,Not Rated
Moving Target,24,4f2a23984b9023bd5841ed2c,Not Rated
Moving Target,8,4f2a23984b9023bd5841ed2c,Not Rated
Housing Development,302,4f2a210c4b9023bd5841ed28,Not Rated
Housing Development,264,4f2a210c4b9023bd5841ed28,Not Rated
Housing Development,251,4f2a210c4b9023bd5841ed28,Not Rated
Housing Development,104,4f2a210c4b9023bd5841ed28,Not Rated
Storage Facility,1368,4f04b1572fb6e1c99f3db0bf,Not Rated
Storage Facility,1332,4f04b1572fb6e1c99f3db0bf,Not Rated
Storage Facility,198,4f04b1572fb6e1c99f3db0bf,Not Rated
Mobile Phone Shop,75,4f04afc02fb6e1c99f3db0bc,Not Rated
Mobile Phone Shop,11,4f04afc02fb6e1c99f3db0bc,Not Rated
Nail Salon,1286,4f04aa0c2fb6e1c99f3db0b8,Not Rated
Nail Salon,1268,4f04aa0c2fb6e1c99f3db0b8,Not Rated
Nail Salon,121,4f04aa0c2fb6e1c99f3db0b8,Not Rated
Nail Salon,120,4f04aa0c2fb6e1c99f3db0b8,Not Rated
Nail Salon,5,4f04aa0c2fb6e1c99f3db0b8,Not Rated
Fish & Chips Shop,1619,4edd64a0c7ddd24ca188df1a,Not Rated
Mountain,2176,4eb1d4d54b900d56c88a45fc,Not Rated
Mountain,33,4eb1d4d54b900d56c88a45fc,Not Rated
Mountain,9,4eb1d4d54b900d56c88a45fc,Not Rated
Mountain,9,4eb1d4d54b900d56c88a45fc,Not Rated
Mountain,7,4eb1d4d54b900d56c88a45fc,Not Rated
Mountain,6,4eb1d4d54b900d56c88a45fc,Not Rated
Auto Dealership,286,4eb1c1623b7b52c0e1adc2ec,Not Rated
Garden Center,774,4eb1c0253b7b52c0e1adc2e9,Not Rated
Garden Center,72,4eb1c0253b7b52c0e1adc2e9,Not Rated
Garden Center,11,4eb1c0253b7b52c0e1adc2e9,Not Rated
Factory,13358,4eb1bea83b7b6f98df247e06,Not Rated
Factory,1152,4eb1bea83b7b6f98df247e06,Not Rated
Factory,1126,4eb1bea83b7b6f98df247e06,Not Rated
Factory,842,4eb1bea83b7b6f98df247e06,Not Rated
Factory,63,4eb1bea83b7b6f98df247e06,Not Rated
Factory,52,4eb1bea83b7b6f98df247e06,Not Rated
Filipino Restaurant,196,4eb1bd1c3b7b55596b4a748f,Not Rated
Pier,60,4e74f6cabd41c4836eac4c31,Not Rated
Animal Shelter,1133,4e52d2d203646f7c19daa8ae,Not Rated
Animal Shelter,13,4e52d2d203646f7c19daa8ae,Not Rated
Bike Rental / Bike Share,137,4e4c9077bd41f78e849722f9,Not Rated
Bike Rental / Bike Share,137,4e4c9077bd41f78e849722f9,Not Rated
Bike Rental / Bike Share,119,4e4c9077bd41f78e849722f9,Not Rated
Bike Rental / Bike Share,27,4e4c9077bd41f78e849722f9,Not Rated
Bike Rental / Bike Share,10,4e4c9077bd41f78e849722f9,Not Rated
Tennis Court,313,4e39a956bd410d7aed40cbc3,Not Rated
Historic Site,69,4deefb944765f83613cdba6e,Not Rated
Historic Site,33,4deefb944765f83613cdba6e,Not Rated
Historic Site,10,4deefb944765f83613cdba6e,Not Rated
Rest Area,50,4d954b16a243a5684b65b473,Not Rated
Convenience Store,535,4d954b0ea243a5684a65b473,Not Rated
Convenience Store,36,4d954b0ea243a5684a65b473,Not Rated
Convenience Store,23,4d954b0ea243a5684a65b473,Not Rated
Convenience Store,14,4d954b0ea243a5684a65b473,Not Rated
Residential Building (Apartment / Condo),10461,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),1325,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),914,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),856,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),398,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),335,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),318,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),314,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),257,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),249,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),219,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),155,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),140,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),111,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),111,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),108,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),90,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),79,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),77,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),54,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),48,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),46,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),41,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),36,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),34,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),29,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),28,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),26,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),25,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),23,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),14,4d954b06a243a5684965b473,Not Rated
Residential Building (Apartment / Condo),5,4d954b06a243a5684965b473,Not Rated
Veterinarian,582,4d954af4a243a5684765b473,Not Rated
Veterinarian,347,4d954af4a243a5684765b473,Not Rated
Veterinarian,305,4d954af4a243a5684765b473,Not Rated
Veterinarian,130,4d954af4a243a5684765b473,Not Rated
Travel & Transport,146,4d4b7105d754a06379d81259,Not Rated
Shop & Service,247,4d4b7105d754a06378d81259,Not Rated
Shop & Service,18,4d4b7105d754a06378d81259,Not Rated
Shop & Service,13,4d4b7105d754a06378d81259,Not Rated
Outdoors & Recreation,716,4d4b7105d754a06377d81259,Not Rated
Professional & Other Places,719,4d4b7105d754a06375d81259,Not Rated
Arts & Entertainment,14,4d4b7104d754a06370d81259,Not Rated
Fried Chicken Joint,233,4d4ae6fc7a7b7dea34424761,Not Rated
Fried Chicken Joint,14,4d4ae6fc7a7b7dea34424761,Not Rated
Tanning Salon,227,4d1cf8421a97d635ce361c31,Not Rated
Soccer Field,1414,4cce455aebf7b749d5e191f5,Not Rated
Soccer Field,1112,4cce455aebf7b749d5e191f5,Not Rated
Soccer Field,980,4cce455aebf7b749d5e191f5,Not Rated
Soccer Field,973,4cce455aebf7b749d5e191f5,Not Rated
Soccer Field,542,4cce455aebf7b749d5e191f5,Not Rated
Parking,914,4c38df4de52ce0d596b336e1,Not Rated
Parking,101,4c38df4de52ce0d596b336e1,Not Rated
Parking,84,4c38df4de52ce0d596b336e1,Not Rated
Gluten-free Restaurant,421,4c2cd86ed066bed06c3c5209,Not Rated
Miscellaneous Shop,378,4bf58dd8d48988d1ff941735,Not Rated
Miscellaneous Shop,287,4bf58dd8d48988d1ff941735,Not Rated
Miscellaneous Shop,241,4bf58dd8d48988d1ff941735,Not Rated
Miscellaneous Shop,150,4bf58dd8d48988d1ff941735,Not Rated
Miscellaneous Shop,143,4bf58dd8d48988d1ff941735,Not Rated
Miscellaneous Shop,51,4bf58dd8d48988d1ff941735,Not Rated
Miscellaneous Shop,48,4bf58dd8d48988d1ff941735,Not Rated
Miscellaneous Shop,30,4bf58dd8d48988d1ff941735,Not Rated
Miscellaneous Shop,22,4bf58dd8d48988d1ff941735,Not Rated
Music Store,13,4bf58dd8d48988d1fe941735,Not Rated
Bus Station,334,4bf58dd8d48988d1fe931735,Not Rated
Bus Station,281,4bf58dd8d48988d1fe931735,Not Rated
Bus Station,238,4bf58dd8d48988d1fe931735,Not Rated
Bus Station,166,4bf58dd8d48988d1fe931735,Not Rated
Bus Station,113,4bf58dd8d48988d1fe931735,Not Rated
Bus Station,100,4bf58dd8d48988d1fe931735,Not Rated
Bus Station,68,4bf58dd8d48988d1fe931735,Not Rated
Bus Station,67,4bf58dd8d48988d1fe931735,Not Rated
Bus Station,46,4bf58dd8d48988d1fe931735,Not Rated
Bus Station,37,4bf58dd8d48988d1fe931735,Not Rated
Bus Station,37,4bf58dd8d48988d1fe931735,Not Rated
Bus Station,34,4bf58dd8d48988d1fe931735,Not Rated
Bus Station,31,4bf58dd8d48988d1fe931735,Not Rated
Bus Station,22,4bf58dd8d48988d1fe931735,Not Rated
Bus Station,21,4bf58dd8d48988d1fe931735,Not Rated
Bus Station,12,4bf58dd8d48988d1fe931735,Not Rated
Bus Station,10,4bf58dd8d48988d1fe931735,Not Rated
Shopping Mall,387,4bf58dd8d48988d1fd941735,Not Rated
Shopping Mall,45,4bf58dd8d48988d1fd941735,Not Rated
Metro Station,349,4bf58dd8d48988d1fd931735,Not Rated
Metro Station,276,4bf58dd8d48988d1fd931735,Not Rated
Metro Station,213,4bf58dd8d48988d1fd931735,Not Rated
Metro Station,208,4bf58dd8d48988d1fd931735,Not Rated
Metro Station,193,4bf58dd8d48988d1fd931735,Not Rated
Metro Station,193,4bf58dd8d48988d1fd931735,Not Rated
Metro Station,189,4bf58dd8d48988d1fd931735,Not Rated
Metro Station,170,4bf58dd8d48988d1fd931735,Not Rated
Metro Station,115,4bf58dd8d48988d1fd931735,Not Rated
Metro Station,98,4bf58dd8d48988d1fd931735,Not Rated
Metro Station,77,4bf58dd8d48988d1fd931735,Not Rated
Metro Station,44,4bf58dd8d48988d1fd931735,Not Rated
Metro Station,33,4bf58dd8d48988d1fd931735,Not Rated
Laundry Service,960,4bf58dd8d48988d1fc941735,Not Rated
Laundry Service,865,4bf58dd8d48988d1fc941735,Not Rated
Laundry Service,273,4bf58dd8d48988d1fc941735,Not Rated
Laundry Service,245,4bf58dd8d48988d1fc941735,Not Rated
Laundry Service,48,4bf58dd8d48988d1fc941735,Not Rated
Laundry Service,47,4bf58dd8d48988d1fc941735,Not Rated
Laundry Service,27,4bf58dd8d48988d1fc941735,Not Rated
Laundry Service,20,4bf58dd8d48988d1fc941735,Not Rated
Laundry Service,16,4bf58dd8d48988d1fc941735,Not Rated
Laundry Service,14,4bf58dd8d48988d1fc941735,Not Rated
Light Rail Station,1143,4bf58dd8d48988d1fc931735,Not Rated
Light Rail Station,900,4bf58dd8d48988d1fc931735,Not Rated
Light Rail Station,461,4bf58dd8d48988d1fc931735,Not Rated
Light Rail Station,84,4bf58dd8d48988d1fc931735,Not Rated
Motel,265,4bf58dd8d48988d1fb931735,Not Rated
Motel,262,4bf58dd8d48988d1fb931735,Not Rated
Motel,190,4bf58dd8d48988d1fb931735,Not Rated
Farmers Market,179,4bf58dd8d48988d1fa941735,Not Rated
Hotel,858,4bf58dd8d48988d1fa931735,Not Rated
Hotel,839,4bf58dd8d48988d1fa931735,Not Rated
Hotel,568,4bf58dd8d48988d1fa931735,Not Rated
Hotel,84,4bf58dd8d48988d1fa931735,Not Rated
Hotel,76,4bf58dd8d48988d1fa931735,Not Rated
Hotel,58,4bf58dd8d48988d1fa931735,Not Rated
Hotel,51,4bf58dd8d48988d1fa931735,Not Rated
Hotel,22,4bf58dd8d48988d1fa931735,Not Rated
Food & Drink Shop,60,4bf58dd8d48988d1f9941735,Not Rated
Furniture / Home Store,1239,4bf58dd8d48988d1f8941735,Not Rated
Furniture / Home Store,1238,4bf58dd8d48988d1f8941735,Not Rated
Furniture / Home Store,68,4bf58dd8d48988d1f8941735,Not Rated
Furniture / Home Store,55,4bf58dd8d48988d1f8941735,Not Rated
Furniture / Home Store,21,4bf58dd8d48988d1f8941735,Not Rated
Flea Market,1302,4bf58dd8d48988d1f7941735,Not Rated
Flea Market,2,4bf58dd8d48988d1f7941735,Not Rated
Department Store,174,4bf58dd8d48988d1f6941735,Not Rated
Department Store,55,4bf58dd8d48988d1f6941735,Not Rated
Department Store,13,4bf58dd8d48988d1f6941735,Not Rated
General Travel,37,4bf58dd8d48988d1f6931735,Not Rated
General Travel,12,4bf58dd8d48988d1f6931735,Not Rated
General Travel,7,4bf58dd8d48988d1f6931735,Not Rated
General Travel,3,4bf58dd8d48988d1f6931735,Not Rated
General Travel,3,4bf58dd8d48988d1f6931735,Not Rated
Gourmet Shop,35,4bf58dd8d48988d1f5941735,Not Rated
Design Studio,5948,4bf58dd8d48988d1f4941735,Not Rated
Design Studio,291,4bf58dd8d48988d1f4941735,Not Rated
Design Studio,98,4bf58dd8d48988d1f4941735,Not Rated
Design Studio,80,4bf58dd8d48988d1f4941735,Not Rated
Design Studio,29,4bf58dd8d48988d1f4941735,Not Rated
Racetrack,1185,4bf58dd8d48988d1f4931735,Not Rated
Toy / Game Store,735,4bf58dd8d48988d1f3941735,Not Rated
Toy / Game Store,23,4bf58dd8d48988d1f3941735,Not Rated
Toy / Game Store,18,4bf58dd8d48988d1f3941735,Not Rated
Sporting Goods Shop,759,4bf58dd8d48988d1f2941735,Not Rated
Sporting Goods Shop,107,4bf58dd8d48988d1f2941735,Not Rated
Sporting Goods Shop,64,4bf58dd8d48988d1f2941735,Not Rated
Sporting Goods Shop,23,4bf58dd8d48988d1f2941735,Not Rated
Performing Arts Venue,204,4bf58dd8d48988d1f2931735,Not Rated
Performing Arts Venue,146,4bf58dd8d48988d1f2931735,Not Rated
Performing Arts Venue,56,4bf58dd8d48988d1f2931735,Not Rated
General Entertainment,1068,4bf58dd8d48988d1f1931735,Not Rated
General Entertainment,345,4bf58dd8d48988d1f1931735,Not Rated
General Entertainment,227,4bf58dd8d48988d1f1931735,Not Rated
General Entertainment,21,4bf58dd8d48988d1f1931735,Not Rated
General Entertainment,20,4bf58dd8d48988d1f1931735,Not Rated
General Entertainment,13,4bf58dd8d48988d1f1931735,Not Rated
General Entertainment,13,4bf58dd8d48988d1f1931735,Not Rated
General Entertainment,12,4bf58dd8d48988d1f1931735,Not Rated
Airport Gate,1195,4bf58dd8d48988d1f0931735,Not Rated
Rental Car Location,3,4bf58dd8d48988d1ef941735,Not Rated
Spa,459,4bf58dd8d48988d1ed941735,Not Rated
Spa,27,4bf58dd8d48988d1ed941735,Not Rated
Spa,26,4bf58dd8d48988d1ed941735,Not Rated
Airport,936,4bf58dd8d48988d1ed931735,Not Rated
Rock Club,22,4bf58dd8d48988d1e9931735,Not Rated
Baseball Field,539,4bf58dd8d48988d1e8941735,Not Rated
Playground,161,4bf58dd8d48988d1e7941735,Not Rated
Playground,145,4bf58dd8d48988d1e7941735,Not Rated
Golf Course,28,4bf58dd8d48988d1e6941735,Not Rated
Golf Course,8,4bf58dd8d48988d1e6941735,Not Rated
Dog Run,272,4bf58dd8d48988d1e5941735,Not Rated
Dog Run,51,4bf58dd8d48988d1e5941735,Not Rated
Dog Run,20,4bf58dd8d48988d1e5941735,Not Rated
Music Venue,132,4bf58dd8d48988d1e5931735,Not Rated
Music Venue,109,4bf58dd8d48988d1e5931735,Not Rated
Music Venue,103,4bf58dd8d48988d1e5931735,Not Rated
Music Venue,25,4bf58dd8d48988d1e5931735,Not Rated
Bowling Alley,78,4bf58dd8d48988d1e4931735,Not Rated
Bowling Alley,60,4bf58dd8d48988d1e4931735,Not Rated
Bowling Alley,46,4bf58dd8d48988d1e4931735,Not Rated
Surf Spot,123,4bf58dd8d48988d1e3941735,Not Rated
Surf Spot,59,4bf58dd8d48988d1e3941735,Not Rated
Surf Spot,8,4bf58dd8d48988d1e3941735,Not Rated
Beach,143,4bf58dd8d48988d1e2941735,Not Rated
Beach,114,4bf58dd8d48988d1e2941735,Not Rated
Beach,44,4bf58dd8d48988d1e2941735,Not Rated
Art Gallery,439,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,208,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,182,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,154,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,83,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,65,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,38,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,34,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,33,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,32,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,30,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,28,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,27,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,22,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,17,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,10,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,8,4bf58dd8d48988d1e2931735,Not Rated
Art Gallery,8,4bf58dd8d48988d1e2931735,Not Rated
Arcade,187,4bf58dd8d48988d1e1931735,Not Rated
Arcade,129,4bf58dd8d48988d1e1931735,Not Rated
Arcade,50,4bf58dd8d48988d1e1931735,Not Rated
Arcade,42,4bf58dd8d48988d1e1931735,Not Rated
Arcade,17,4bf58dd8d48988d1e1931735,Not Rated
Arcade,11,4bf58dd8d48988d1e1931735,Not Rated
Arcade,3,4bf58dd8d48988d1e1931735,Not Rated
Harbor / Marina,6,4bf58dd8d48988d1e0941735,Not Rated
Coffee Shop,322,4bf58dd8d48988d1e0931735,Not Rated
Coffee Shop,137,4bf58dd8d48988d1e0931735,Not Rated
Coffee Shop,131,4bf58dd8d48988d1e0931735,Not Rated
Coffee Shop,130,4bf58dd8d48988d1e0931735,Not Rated
Coffee Shop,102,4bf58dd8d48988d1e0931735,Not Rated
Coffee Shop,77,4bf58dd8d48988d1e0931735,Not Rated
Coffee Shop,64,4bf58dd8d48988d1e0931735,Not Rated
Coffee Shop,49,4bf58dd8d48988d1e0931735,Not Rated
Coffee Shop,49,4bf58dd8d48988d1e0931735,Not Rated
Coffee Shop,45,4bf58dd8d48988d1e0931735,Not Rated
